Name,Cohort Graduation Rate,Cohort Dropout Rate
ALAMEDA,82.9,10.6
ALPINE,33.3,33.3
AMADOR,87.7,10.1
BUTTE,85.7,9.7
CALAVERAS,90.1,5.4
COLUSA,78.7,17.1
CONTRA COSTA,86.2,8
DEL NORTE,78.6,11.4
EL DORADO,88.8,5.9
FRESNO,78.8,13.3
GLENN,88.3,7.5
HUMBOLDT,79.6,11.3
IMPERIAL,82,9.3
INYO,29.9,43.7
KERN,79.7,14.5
KINGS,80.2,14.8
LAKE,80.4,13.5
LASSEN,84.7,10.8
LOS ANGELES,77.9,12.6
MADERA,79.8,14.1
MARIN,91.8,5.6
MARIPOSA,91.2,3.9
MENDOCINO,79.1,14.3
MERCED,84.7,10.5
MODOC,91.3,4.8
MONO,42.7,34.4
MONTEREY,81.6,9.6
NAPA,85.4,10
NEVADA,46,32.8
ORANGE,88.6,6.7
PLACER,90.9,4.6
PLUMAS,84.9,10.6
RIVERSIDE,85.2,9.3
SACRAMENTO,80.5,10.7
SAN BENITO,85.5,11
SAN BERNARDINO,78.7,12.2
SAN DIEGO,79.7,9.7
SAN FRANCISCO,74.8,14.9
SAN JOAQUIN,80.3,13.2
SAN LUIS OBISPO,89.3,6.5
SAN MATEO,88.4,6.6
SANTA BARBARA,84.3,10.7
SANTA CLARA,83.8,11
SANTA CRUZ,86.3,9.1
SHASTA,86.8,9.9
SIERRA,94.4,2.8
SISKIYOU,91.8,5.7
SOLANO,84,10.9
SONOMA,81.7,11.7
STANISLAUS,82.1,11.5
SUTTER,82.2,10.3
TEHAMA,84.4,12.1
TRINITY,91.6,4.5
TULARE,82.6,12.8
TUOLUMNE,84.2,11.7
VENTURA,83.2,9.3
YOLO,87.8,8.8
YUBA,75.4,14.6
